PLAYER,EARLY/LATE,TEE TIME,BET TYPE,BETMGM,DRAFTKINGS,FANDUEL, BET365,POINTSBET,BETFAIR,BETONLINE,WILLIAMHILL,BETWAY,BOVADA,CIRCA,PINNACLE,SKYBET,UNIBET,RANK AV,AVERAGE,PERCENT LST 20,MODEL,RANK,% ODDS AVERAGE,925 - VEGAS,BET TAG,Best Odds Number,Best Odds Sportsbook,Best Odds,Percent Difference From Average,Bet Difference Per Bet,Bet Difference Week,Best Odds Percent Difference From Average,Difference From Average Odds,Course,925 Odds,Pre Tournament Odds,Edge,,,Headshot
Sungjae Im,Late,2026-08-16 12:30,TOP 20,0,-80,0,-100,0,0,0,0,0,0,0,0,0,0,2,-90,0.3,3,17,-0.0112,15,Good Bet,0,POINTSBET,POINTSBET (0/1),,,972,1.0112,1,TPC Southwind,0.20,,0.21,0.2227022359,0.2749157115,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39971.png"
Tommy Fleetwood,Late,2026-08-16 12:20,TOP 20,0,-20,-40,-100,0,0,0,-50,0,0,0,0,-33.33,0,3,-48.666,0.65,4,5,-0.0210,2,Good Bet,0,POINTSBET,POINTSBET (0/1),,,974,1.0210,1,TPC Southwind,0.29,,0.31,0.2713714955,0.2426122639,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30911.png"
Jake Knapp,Late,2026-08-16 12:30,TOP 20,0,-8,-12.5,-16.67,0,0,0,-14.29,0,0,0,0,-12.5,0,4,-12.792,0.45,15,28,-0.0848,24,Good Bet,0,POINTSBET,POINTSBET (0/1),,,977,1.0848,1,TPC Southwind,0.13,,0.22,0.1098445408,0.06134198674,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47420.png"
Hideki Matsuyama,Late,2026-08-16 12:10,TOP 20,0,-8,-11,-16.67,0,0,0,-12.5,0,0,0,0,-12.5,0,5,-12.134,0.55,6,14,-0.0898,9,Good Bet,0,POINTSBET,POINTSBET (0/1),,,978,1.0898,1,TPC Southwind,0.21,,0.30,0.2054049764,0.1889466211,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32839.png"
Si Woo Kim,Late,2026-08-16 12:20,TOP 20,0,-8,-10,-14.29,0,0,0,-10,0,0,0,0,-10,0,6,-10.458,0.55,11,21,-0.1057,15,Good Bet,0,POINTSBET,POINTSBET (0/1),,,979,1.1057,1,TPC Southwind,0.17,,0.28,0.1495353833,0.1011358383,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37455.png"
Alex Noren,Late,2026-08-16 12:10,TOP 20,0,-5.5,-7,-9.09,0,0,0,-5.88,0,0,0,0,-7.14,0,8,-6.922,0.25,24,58,-0.1689,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,981,1.1689,1,TPC Southwind,0.03,,0.20,0.02817652221,0.01991482735,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27349.png"
Brian Harman,Late,2026-08-16 12:00,TOP 20,0,-4.9,-9,-12.5,0,0,0,-4.55,0,0,0,0,-9.09,0,7,-8.008,0.15,29,60,-0.1427,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,980,1.1427,1,TPC Southwind,0.01,,0.15,0.007856970575,0.01065963893,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27644.png"
Viktor Hovland,Late,2026-08-16 11:50,TOP 20,0,-3.9,-4.5,-5.88,0,0,0,-5,0,0,0,0,-4.55,0,9,-4.766,0.5,17,42,-0.2655,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,983,1.2655,1,TPC Southwind,0.09,,0.35,0.07555716783,0.04777318731,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46717.png"
Tom Kim,Late,2026-08-16 12:00,TOP 20,0,-3.8,-3.9,-5.56,0,0,0,-4.55,0,0,0,0,-4,0,10,-4.362,0.35,18,57,-0.2974,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,984,1.2974,1,TPC Southwind,0.03,,0.33,0.03580741413,0.04215968982,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55182.png"
Kurt Kitayama,Late,2026-08-16 11:50,TOP 20,0,-2.9,-3.2,-4,0,0,0,-3.45,0,0,0,0,-3.03,0,11,-3.316,0.35,22,62,-0.4318,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,987,1.4318,1,TPC Southwind,-0.01,,0.42,-0.001013099148,0.02557114448,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48117.png"
Chris Gotterup,Late,2026-08-16 11:25,TOP 20,0,-2.15,-2.2,-2.78,0,0,0,-2.5,0,0,0,0,-2.27,0,13,-2.38,0.45,25,63,-0.7246,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,990,1.7246,1,TPC Southwind,-0.08,,0.65,-0.04438267216,0.01757477345,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59095.png"
Wyndham Clark,Late,2026-08-16 11:25,TOP 20,0,-1.96,-2.1,-2.27,0,0,0,-2,0,0,0,0,-1.89,0,14,-2.044,0.4,21,64,-0.9579,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,991,1.9579,1,TPC Southwind,-0.16,,0.80,-0.09418533954,0.02897590281,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51766.png"
Adam Scott,Late,2026-08-16 11:40,TOP 20,0,-1.56,-1.75,-2,0,0,0,-1.61,0,0,0,0,-1.61,0,15,-1.706,0.25,34,65,-1.4164,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,994,2.4164,1,TPC Southwind,-0.35,,1.07,-0.2298627028,0.005705693564,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_24502.png"
Patrick Cantlay,Late,2026-08-16 11:15,TOP 20,0,-2.45,-2.5,-3.03,0,0,0,-2.78,0,0,0,0,-2.5,0,12,-2.652,0.5,14,61,-0.6053,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,988,1.6053,1,TPC Southwind,0.00,,0.60,0.02064037113,0.06950957738,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35450.png"
Matt Fitzpatrick,Late,2026-08-16 11:05,TOP 20,0,-1.54,-1.4,-1.49,0,0,0,-1.49,0,0,0,0,-1.25,0,17,-1.434,0.6,9,66,-2.3041,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,997,3.3041,1,TPC Southwind,-0.46,,1.84,-0.2629129009,0.1298609869,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40098.png"
Nico Echavarria,Late,2026-08-16 11:15,TOP 20,0,-1.3,-1.4,-1.49,0,0,0,-1.25,0,0,0,0,-1.25,0,18,-1.338,,,68,-2.9586,0,,0,POINTSBET,POINTSBET (0/1),,,998,3.9586,1,TPC Southwind,-2.96,,0.00,-2.958579882,,
J.T. Poston,Late,2026-08-16 11:40,TOP 20,0,-1.42,-1.55,-1.61,0,0,0,-1.25,0,0,0,0,-1.37,0,16,-1.44,0.15,54,67,-2.2727,0,Good Bet,0,POINTSBET,POINTSBET (0/1),,,996,3.2727,1,TPC Southwind,-0.64,,1.64,-0.4242644434,0.0004683518483,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49771.png"
Ludvig Aberg,Late,2026-08-16 10:05,TOP 20,0,1.2,1.25,1.15,0,0,0,1.15,0,0,0,0,1.3,0,114,1.21,0.55,10,2,0.4525,-112,,1.3,SKYBET,SKYBET (1.3/1),0.9307692308,46,24,-0.0177,0.4347826087,TPC Southwind,0.35,,-0.11,0.2692588888,0.1146019187,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52955.png"
Jackson Koivun,Late,2026-08-16 10:45,TOP 20,0,1.44,1.75,1.6,0,0,0,1.45,0,0,0,0,1.88,0,116,1.624,0.3,8,10,0.3811,-106,,1.88,SKYBET,SKYBET (1.88/1),0.8638297872,9,3,-0.0339,0.3472222222,TPC Southwind,0.26,,-0.12,0.2245105781,0.1471517765,https://www.freeiconspng.com/uploads/--tie-user-users-work-worker-working-icon--icon-search-engine-6.png
Jordan Spieth,Late,2026-08-16 10:55,TOP 20,0,1.06,1.1,1,0,0,0,1.15,0,0,0,0,1.2,0,112,1.102,0.4,46,9,0.4757,-103,,1.2,SKYBET,SKYBET (1.2/1),0.9183333333,43,18,-0.0212,0.4545454545,TPC Southwind,0.26,,-0.21,0.175911346,0.001273112319,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34046.png"
Nick Taylor,Late,2026-08-16 11:05,TOP 20,0,1.34,1.5,1.38,0,0,0,1.62,0,0,0,0,1.63,0,115,1.494,0.1,58,24,0.4010,-91,,1.63,SKYBET,SKYBET (1.63/1),0.9165644172,42,21,-0.0207,0.3802281369,TPC Southwind,0.15,,-0.25,0.1003629038,0.0002840697555,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_25493.png"
Xander Schauffele,Late,2026-08-16 10:35,TOP 20,0,1.06,1.15,1.05,0,0,0,1.1,0,0,0,0,1.25,0,113,1.122,0.55,2,1,0.4713,-112,,1.25,SKYBET,SKYBET (1.25/1),0.8976,40,11,-0.0268,0.4444444444,TPC Southwind,0.43,,-0.04,0.3911628948,0.3115203132,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48081.png"
Rickie Fowler,Late,2026-08-16 10:55,TOP 20,0,1.68,1.85,1.7,0,0,0,1.62,0,0,0,0,2,0,117,1.77,0.55,32,8,0.3610,-109,,2,SKYBET,SKYBET (2/1),0.885,33,8,-0.0277,0.3333333333,TPC Southwind,0.28,,-0.08,0.1865979194,0.007326255555,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32102.png"
Keith Mitchell,Late,2026-08-16 10:05,TOP 20,0,1.9,2.3,2.2,0,0,0,2.1,0,0,0,0,2.5,0,121,2.2,0.25,41,22,0.3125,-99,,2.5,SKYBET,SKYBET (2.5/1),0.88,30,12,-0.0268,0.2857142857,TPC Southwind,0.17,,-0.14,0.1139270922,0.002378486943,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39546.png"
Pierceson Coody,Late,2026-08-16 10:15,TOP 20,0,2.85,3.8,3.33,0,0,0,3.5,0,0,0,0,4,0,124,3.496,0.2,66,30,0.2224,0,,4,SKYBET,SKYBET (4/1),0.874,12,14,-0.0224,0.2,TPC Southwind,0.13,,-0.10,0.08454668782,0.0001045034229,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59836.png"
Maverick McNealy,Late,2026-08-16 10:25,TOP 20,0,1.68,2,1.88,0,0,0,1.62,0,0,0,0,2.1,0,119,1.856,0.35,23,13,0.3501,-106,,2.1,SKYBET,SKYBET (2.1/1),0.8838095238,31,9,-0.0276,0.3225806452,TPC Southwind,0.22,,-0.13,0.1535678847,0.0225664558,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46442.png"
J.J. Spaun,Late,2026-08-16 10:45,TOP 20,0,1.56,1.95,1.75,0,0,0,1.62,0,0,0,0,2,0,118,1.776,0.3,26,15,0.3602,-103,,2,SKYBET,SKYBET (2/1),0.888,36,10,-0.0269,0.3333333333,TPC Southwind,0.20,,-0.16,0.1413519194,0.01550968313,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39324.png"
Ryan Gerard,Early,2026-08-16 09:50,TOP 20,0,3,3.8,3.2,0,0,0,0,0,0,0,0,4,0,125,3.5,0.2,33,29,0.2222,-96,,4,SKYBET,SKYBET (4/1),0.875,13,16,-0.0222,0.2,TPC Southwind,0.13,,-0.09,0.08832368315,0.006465397835,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59018.png"
Jacob Bridgeman,Late,2026-08-16 10:35,TOP 20,0,1.9,2.3,2.1,0,0,0,1.88,0,0,0,0,2.5,0,120,2.136,0.45,20,11,0.3189,-109,,2.5,SKYBET,SKYBET (2.5/1),0.8544,6,4,-0.0332,0.2857142857,TPC Southwind,0.24,,-0.08,0.1734759099,0.03283399945,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60004.png"
Patrick Rodgers,Late,2026-08-16 10:15,TOP 20,0,3.6,4.3,3.5,0,0,0,4.8,0,0,0,0,4.5,0,128,4.14,0.1,68,43,0.1946,0,,4.8,WILLIAMHILL,WILLIAMHILL (4.8/1),0.8625,7,17,-0.0221,0.1724137931,TPC Southwind,0.09,,-0.11,0.05895933825,0.0000813873476,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36699.png"
Gary Woodland,Late,2026-08-16 10:25,TOP 20,0,2.1,2.8,2.4,0,0,0,2.5,0,0,0,0,3,0,122,2.56,0.35,45,18,0.2809,-104,,3,SKYBET,SKYBET (3/1),0.8533333333,5,6,-0.0309,0.25,TPC Southwind,0.19,,-0.09,0.1270453504,0.001442625254,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31323.png"
Alex Smalley,Early,2026-08-16 09:30,TOP 20,0,3.15,3.8,3.2,0,0,0,0,0,0,0,0,4,0,126,3.5375,0.4,43,19,0.2204,-107,,4,SKYBET,SKYBET (4/1),0.884375,32,22,-0.0204,0.2,TPC Southwind,0.19,,-0.03,0.1251885555,0.001852367493,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46340.png"
Corey Conners,Early,2026-08-16 08:15,TOP 20,0,0,0,75,0,0,0,0,0,0,0,0,75,0,144,75,0.25,40,46,0.0132,0,Good Bet,75, BET365, BET365 (75/1),1,49,240,0.0000,0.01315789474,TPC Southwind,0.08,,0.07,0.05424868623,0.0026951788,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39997.png"
Ryo Hisatsune,Early,2026-08-16 09:00,TOP 20,0,16,22,18,0,0,0,0,0,0,0,0,22,0,135,19.5,0.3,59,34,0.0488,0,Good Bet,22,SKYBET,SKYBET (22/1),0.8863636364,35,62,-0.0053,0.04347826087,TPC Southwind,0.10,,0.06,0.06990651197,0.0002506906794,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51287.png"
Bud Cauley,Early,2026-08-16 09:40,TOP 20,0,3.55,4.3,3.6,0,0,0,0,0,0,0,0,4.5,0,127,3.9875,0.25,52,27,0.2005,-100,,4.5,SKYBET,SKYBET (4.5/1),0.8861111111,34,23,-0.0187,0.1818181818,TPC Southwind,0.14,,-0.07,0.09046107603,0.0006013756772,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34021.png"
Russell Henley,Early,2026-08-16 09:50,TOP 20,0,2.5,3,2.6,0,0,0,0,0,0,0,0,3,0,123,2.775,0.6,16,7,0.2649,-116,Good Bet,3,SKYBET,SKYBET (3/1),0.925,45,31,-0.0149,0.25,TPC Southwind,0.28,,0.02,0.2054606004,0.05413411329,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34098.png"
Max Homa,Early,2026-08-16 09:30,TOP 20,0,8.7,13,11,0,0,0,0,0,0,0,0,12,0,133,11.175,0.25,56,37,0.0821,0,Good Bet,12,SKYBET,SKYBET (12/1),0.93125,47,64,-0.0052,0.07692307692,TPC Southwind,0.10,,0.02,0.06664595639,0.0003647527862,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39977.png"
Aaron Rai,Early,2026-08-16 09:20,TOP 20,0,6.1,7.5,6.5,0,0,0,0,0,0,0,0,7.5,0,131,6.9,0.25,42,32,0.1266,0,,7.5,SKYBET,SKYBET (7.5/1),0.92,44,44,-0.0089,0.1176470588,TPC Southwind,0.11,,-0.01,0.07657586011,0.00209900736,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46414.png"
Harry Hall,Early,2026-08-16 09:40,TOP 20,0,3.95,5,4,0,0,0,0,0,0,0,0,5,0,129,4.4875,0.15,57,36,0.1822,0,,5,SKYBET,SKYBET (5/1),0.8975,39,29,-0.0156,0.1666666667,TPC Southwind,0.10,,-0.08,0.06663960517,0.000321893204,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57975.png"
Collin Morikawa,Early,2026-08-16 08:40,TOP 20,0,0,22,18,0,0,0,0,0,0,0,0,22,0,136,20.66666667,0.45,12,20,0.0462,-116,Good Bet,22,SKYBET,SKYBET (22/1),0.9393939394,48,88,-0.0027,0.04347826087,TPC Southwind,0.18,,0.14,0.1527820077,0.08925206406,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50525.png"
Matti Schmid,Early,2026-08-16 09:10,TOP 20,0,19.5,0,25,0,0,0,0,0,0,0,0,35,0,138,26.5,0.15,67,54,0.0364,0,Good Bet,35,SKYBET,SKYBET (35/1),0.7571428571,1,47,-0.0086,0.02777777778,TPC Southwind,0.06,,0.02,0.03732806164,0.00009222394704,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48867.png"
Sudarshan Yellamaraju,Early,2026-08-16 08:30,TOP 20,0,0,0,40,0,0,0,0,0,0,0,0,66,0,142,53,0.3,61,39,0.0185,0,Good Bet,66,SKYBET,SKYBET (66/1),0.803030303,2,76,-0.0036,0.01492537313,TPC Southwind,0.10,,0.08,0.06382084656,0.0001952380974,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60386.png"
Sam Stevens,Early,2026-08-16 09:00,TOP 20,0,0,0,22,0,0,0,0,0,0,0,0,30,0,137,26,0.2,64,48,0.0370,0,Good Bet,30,SKYBET,SKYBET (30/1),0.8666666667,10,66,-0.0048,0.03225806452,TPC Southwind,0.07,,0.03,0.04748791844,0.0001341850512,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55893.png"
Cameron Young,Early,2026-08-16 08:50,TOP 20,0,6.7,9,7.5,0,0,0,0,0,0,0,0,9,0,132,8.05,0.55,5,6,0.1105,-126,Good Bet,9,SKYBET,SKYBET (9/1),0.8944444444,38,42,-0.0105,0.1,TPC Southwind,0.28,,0.17,0.2605621904,0.2141045714,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57366.png"
Nicolai Hojgaard,Early,2026-08-16 08:40,TOP 20,0,0,0,35,0,0,0,0,0,0,0,0,50,0,140,42.5,0.3,47,38,0.0230,0,Good Bet,50,SKYBET,SKYBET (50/1),0.85,4,77,-0.0034,0.01960784314,TPC Southwind,0.10,,0.07,0.06527181176,0.001123517678,https://www.freeiconspng.com/uploads/--tie-user-users-work-worker-working-icon--icon-search-engine-6.png
Michael Kim,Early,2026-08-16 08:30,TOP 20,0,0,0,40,0,0,0,0,0,0,0,0,55,0,141,47.5,0.25,55,45,0.0206,0,Good Bet,55,SKYBET,SKYBET (55/1),0.8636363636,8,87,-0.0028,0.01785714286,TPC Southwind,0.08,,0.06,0.05437170277,0.0004133190555,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39975.png"
Michael Brennan,Early,2026-08-16 09:10,TOP 20,0,11,14,12,0,0,0,0,0,0,0,0,14,0,134,12.75,0.15,37,49,0.0727,0,,14,SKYBET,SKYBET (14/1),0.9107142857,41,56,-0.0061,0.06666666667,TPC Southwind,0.07,,0.00,0.04689833175,0.003921462014,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58611.png"
Justin Thomas,Early,2026-08-16 09:20,TOP 20,0,4.45,6,5,0,0,0,0,0,0,0,0,6,0,130,5.3625,0.45,19,16,0.1572,-114,Good Bet,6,SKYBET,SKYBET (6/1),0.89375,37,32,-0.0143,0.1428571429,TPC Southwind,0.20,,0.04,0.1437576621,0.03720579568,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33448.png"
Ben Griffin,Early,2026-08-16 08:05,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.3,35,40,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.10,,0.08,0.06528104114,0.005035256897,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54591.png"
Michael Thorbjornsen,Early,2026-08-16 08:15,TOP 20,0,0,0,50,0,0,0,0,0,0,0,0,75,0,143,62.5,0.3,27,35,0.0157,0,Good Bet,75,SKYBET,SKYBET (75/1),0.8333333333,3,91,-0.0026,0.01315789474,TPC Southwind,0.10,,0.08,0.07136195469,0.01368724732,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57364.png"
Sahith Theegala,Early,2026-08-16 06:55,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.2,51,51,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.06,,0.05,0.04266875576,0.0006814479183,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51634.png"
Aldrich Potgieter,Early,2026-08-16 07:35,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.15,65,56,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.05,,0.04,0.03233093774,0.000118417892,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63343.png"
Min Woo Lee,Early,2026-08-16 07:55,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.5,28,23,0.0113,-122,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.16,,0.15,0.109507259,0.01207895337,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37378.png"
Shane Lowry,Early,2026-08-16 07:55,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.2,38,50,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.06,,0.05,0.04433629385,0.003460678081,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33204.png"
Sepp Straka,Early,2026-08-16 08:05,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.3,60,41,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.09,,0.08,0.06239262725,0.0002212337481,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49960.png"
Ricky Castillo,Early,2026-08-16 07:45,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.2,62,52,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.06,,0.05,0.04236326522,0.0001722970162,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59440.png"
Ryan Fox,Early,2026-08-16 06:55,TOP 20,0,0,0,100,0,0,0,0,0,0,0,0,75,0,145,87.5,0.25,39,47,0.0113,0,Good Bet,100, BET365, BET365 (100/1),0.875,13,103,-0.0014,0.009900990099,TPC Southwind,0.08,,0.07,0.05409230962,0.003054037688,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29936.png"
